Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [20/May/2025 00:54:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /css/bootstrap-icons.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /css/slick.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /css/slick-theme.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/downarrow.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/about-1.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/about-2.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /js/bootstrap.bundle.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /js/slick.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/about-3.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/about-down-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/about-yellow.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/rightleaf-found.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/exploreleft-dot.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/found-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/whofound.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/explore-leaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/user1.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/quotes.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/reviewImg2.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/reviewImg3.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/reviewImg4.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/leftdot-location.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/location-rightleaf.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/plus.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] code 404, message File not found
127.0.0.1 - - [20/May/2025 00:54:58] "GET /app/assets/images/logo.png HTTP/1.1" 404 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /assets/images/movetop.png HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:58] "GET /css/fonts/bootstrap-icons.woff2?e34853135f9e39acf64315236852cd5a HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:59] "GET /css/ajax-loader.gif HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:59] "GET /css/fonts/slick.woff HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:59] "GET /footer.html HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:59] "GET /css/footer.css HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2025 00:54:59] "GET /images/Plate%20of%20Africa%20Logo.png HTTP/1.1" 200 -
